,dptompio,codigo_ver,nom_dep,nomb_mpio,nombre_ver
0,5660,566000,ANTIOQUIA,SAN LUIS,ALTAVISTA RIO CLARO
1,5660,566001,ANTIOQUIA,SAN LUIS,BUENOS AIRES
2,5660,566002,ANTIOQUIA,SAN LUIS,BUENOS AIRES
3,5660,566003,ANTIOQUIA,SAN LUIS,CAIMITAL
4,5660,566004,ANTIOQUIA,SAN LUIS,CAMPOALEGRE
5,5660,566005,ANTIOQUIA,SAN LUIS,CARACOLÍ
6,5660,566006,ANTIOQUIA,SAN LUIS,CHICUALÍ
7,5660,566007,ANTIOQUIA,SAN LUIS,CONTRERAS
8,5660,566008,ANTIOQUIA,SAN LUIS,CORDIALIDAD
9,5660,566009,ANTIOQUIA,SAN LUIS,CUBA
10,5660,566010,ANTIOQUIA,SAN LUIS,DINDAL
11,5660,566011,ANTIOQUIA,SAN LUIS,EL CRUCE
12,5660,566013,ANTIOQUIA,SAN LUIS,EL JORDAN
13,5660,566014,ANTIOQUIA,SAN LUIS,EL OLIVO
14,5660,566015,ANTIOQUIA,SAN LUIS,EL PESCADO
15,5660,566016,ANTIOQUIA,SAN LUIS,EL POPAL
16,5660,566018,ANTIOQUIA,SAN LUIS,EL PORVENIR
17,5660,566019,ANTIOQUIA,SAN LUIS,EL PRODIGIO
18,5660,566020,ANTIOQUIA,SAN LUIS,EL PRODIGIO
19,5660,566021,ANTIOQUIA,SAN LUIS,EL PUÑO
20,5660,566023,ANTIOQUIA,SAN LUIS,EL SILENCIO
21,5660,566024,ANTIOQUIA,SAN LUIS,EL SOCORRO
22,5660,566025,ANTIOQUIA,SAN LUIS,EL TRIQUE
23,5660,566026,ANTIOQUIA,SAN LUIS,GALLEGO
24,5660,566027,ANTIOQUIA,SAN LUIS,GUACIMITO
25,5660,566028,ANTIOQUIA,SAN LUIS,GUADALAJARA
26,5660,566029,ANTIOQUIA,SAN LUIS,JAGUA BARTOLITO
27,5660,566030,ANTIOQUIA,SAN LUIS,JAGUA FLOR
28,5660,566031,ANTIOQUIA,SAN LUIS,JOSEFINA
29,5660,566032,ANTIOQUIA,SAN LUIS,LA ARABIA
30,5660,566033,ANTIOQUIA,SAN LUIS,LA ARAUCA
31,5660,566034,ANTIOQUIA,SAN LUIS,LA AURORA
32,5660,566035,ANTIOQUIA,SAN LUIS,LA AURORA
33,5660,566036,ANTIOQUIA,SAN LUIS,LA CAÑADA
34,5660,566037,ANTIOQUIA,SAN LUIS,LA CRISTALINA
35,5660,566038,ANTIOQUIA,SAN LUIS,LA CUMBRE
36,5660,566039,ANTIOQUIA,SAN LUIS,LA ESTRELLA
37,5660,566040,ANTIOQUIA,SAN LUIS,LA FLOR
38,5660,566041,ANTIOQUIA,SAN LUIS,LA GARRUCHA
39,5660,566042,ANTIOQUIA,SAN LUIS,LA GAVIOTA
40,5660,566043,ANTIOQUIA,SAN LUIS,LA HABANA
41,5660,566044,ANTIOQUIA,SAN LUIS,LA INDEPENDENCIA
42,5660,566045,ANTIOQUIA,SAN LUIS,LA LAGUNA
43,5660,566046,ANTIOQUIA,SAN LUIS,LA LINDA
44,5660,566047,ANTIOQUIA,SAN LUIS,LA MERCED
45,5660,566048,ANTIOQUIA,SAN LUIS,LA MESA
46,5660,566049,ANTIOQUIA,SAN LUIS,LA MESETA
47,5660,566050,ANTIOQUIA,SAN LUIS,LA PALESTINA
48,5660,566051,ANTIOQUIA,SAN LUIS,LA PALMA
49,5660,566052,ANTIOQUIA,SAN LUIS,LA PALMERA
50,5660,566053,ANTIOQUIA,SAN LUIS,LA TEBAIDA
51,5660,566054,ANTIOQUIA,SAN LUIS,LAS CONFUSAS
52,5660,566055,ANTIOQUIA,SAN LUIS,LAS MARGARITAS
53,5660,566056,ANTIOQUIA,SAN LUIS,LIMONAR
54,5660,566057,ANTIOQUIA,SAN LUIS,LOS CIRUELOS
55,5660,566058,ANTIOQUIA,SAN LUIS,LOS PLANES
56,5660,566059,ANTIOQUIA,SAN LUIS,LUISA GARCÍA
57,5660,566060,ANTIOQUIA,SAN LUIS,MALNOMBRE
58,5660,566061,ANTIOQUIA,SAN LUIS,MANIZALES
59,5660,566062,ANTIOQUIA,SAN LUIS,MINARRICA
60,5660,566063,ANTIOQUIA,SAN LUIS,MONTELORO
61,5660,566064,ANTIOQUIA,SAN LUIS,MONTENEGRO
62,5660,566065,ANTIOQUIA,SAN LUIS,PALACIO
63,5660,566066,ANTIOQUIA,SAN LUIS,PARAGUAY
64,5660,566067,ANTIOQUIA,SAN LUIS,PATIO BONITO
65,5660,566069,ANTIOQUIA,SAN LUIS,PEDREGAL
66,5660,566070,ANTIOQUIA,SAN LUIS,PIEDRAS BLANCAS
67,5660,566071,ANTIOQUIA,SAN LUIS,PRIMAVERA
68,5660,566072,ANTIOQUIA,SAN LUIS,SALAMBRINA
69,5660,566073,ANTIOQUIA,SAN LUIS,SAN ANTONIO
70,5660,566074,ANTIOQUIA,SAN LUIS,SAN ANTONIO
71,5660,566075,ANTIOQUIA,SAN LUIS,SAN ATANASIO
72,5660,566076,ANTIOQUIA,SAN LUIS,SAN CAYETANO
73,5660,566077,ANTIOQUIA,SAN LUIS,SAN FRANCISCO
74,5660,566078,ANTIOQUIA,SAN LUIS,SAN PABLO
75,5660,566079,ANTIOQUIA,SAN LUIS,SANTA BARBARA
76,5660,566080,ANTIOQUIA,SAN LUIS,SANTA ISABEL
77,5660,566081,ANTIOQUIA,SAN LUIS,SANTA LUCÍA
78,5660,566082,ANTIOQUIA,SAN LUIS,SANTA RITA
79,5660,566083,ANTIOQUIA,SAN LUIS,SANTA ROSA
80,5660,566084,ANTIOQUIA,SAN LUIS,SOPETRAN
